Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in traffic accident,Take medicines on time,Drink plenty of water,Maintain hygiene,Exercise lightly
Underdosing of expectorants,Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
Speech and language deficits following cerebral infarction,Maintain hygiene,Take medicines on time,Drink plenty of water,Get adequate rest
Assault by strike by other specified type of sport equipment,Maintain hygiene,Exercise lightly,Get adequate rest,Monitor vitals regularly
"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm",Exercise lightly,Get adequate rest,Take medicines on time,Maintain hygiene
"Abdominal testis, unilateral",Drink plenty of water,Maintain hygiene,Get adequate rest,Exercise lightly
Laceration without foreign body of vocal cord,Get adequate rest,Maintain hygiene,Monitor vitals regularly,Take medicines on time
Displaced fracture of olecranon process without intraarticular extension of unspecified ulna,Get adequate rest,Monitor vitals regularly,Exercise lightly,Avoid oily food
Blister (nonthermal) of left thumb,Avoid oily food,Maintain hygiene,Drink plenty of water,Get adequate rest
Dislocation of unspecified part of thorax,Exercise lightly,Maintain hygiene,Take medicines on time,Avoid oily food
Spastic hemiplegia,Monitor vitals regularly,Avoid oily food,Maintain hygiene,Exercise lightly
Effects of high-pressure fluids,Monitor vitals regularly,Drink plenty of water,Get adequate rest,Avoid oily food
Assault by other specified means,Drink plenty of water,Take medicines on time,Exercise lightly,Monitor vitals regularly
Superficial frostbite of unspecified finger(s),Monitor vitals regularly,Avoid oily food,Take medicines on time,Maintain hygiene
Exposure of other prosthetic materials into organ or tissue,Exercise lightly,Get adequate rest,Drink plenty of water,Take medicines on time
"Strain of other specified muscles, fascia and tendons at thigh level, left thigh",Get adequate rest,Avoid oily food,Drink plenty of water,Exercise lightly
Other specified injury of blood vessel of unspecified finger,Monitor vitals regularly,Exercise lightly,Drink plenty of water,Maintain hygiene
"Corrosion of cornea and conjunctival sac, unspecified eye",Avoid oily food,Monitor vitals regularly,Take medicines on time,Maintain hygiene
Angioneurotic edema,Maintain hygiene,Avoid oily food,Drink plenty of water,Get adequate rest
Ehlers-Danlos syndrome,Monitor vitals regularly,Avoid oily food,Drink plenty of water,Exercise lightly
"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester",Take medicines on time,Maintain hygiene,Avoid oily food,Get adequate rest
"Injury of olfactory [1st ] nerve, right side",Avoid oily food,Drink plenty of water,Get adequate rest,Maintain hygiene
Dietary selenium deficiency,Take medicines on time,Get adequate rest,Monitor vitals regularly,Drink plenty of water
Accidental discharge of unspecified larger firearm,Get adequate rest,Exercise lightly,Maintain hygiene,Drink plenty of water
Salter-Harris Type II physeal fracture of upper end of left tibia,Avoid oily food,Exercise lightly,Get adequate rest,Maintain hygiene
"Other specified complication of other internal prosthetic devices, implants and grafts",Avoid oily food,Maintain hygiene,Exercise lightly,Get adequate rest
Traumatic hemopneumothorax,Take medicines on time,Drink plenty of water,Get adequate rest,Monitor vitals regularly
"Unspecified injury of greater saphenous vein at lower leg level, right leg",Avoid oily food,Get adequate rest,Take medicines on time,Maintain hygiene
Inhalant dependence with inhalant-induced psychotic disorder,Monitor vitals regularly,Get adequate rest,Drink plenty of water,Exercise lightly
"Other disorders of skin and subcutaneous tissue, not elsewhere classified",Monitor vitals regularly,Take medicines on time,Avoid oily food,Maintain hygiene
Postprocedural hemorrhage of eye and adnexa following an ophthalmic procedure,Avoid oily food,Drink plenty of water,Take medicines on time,Monitor vitals regularly
Other sprain of left middle finger,Maintain hygiene,Get adequate rest,Avoid oily food,Take medicines on time
Hypertrophic disorders of skin,Avoid oily food,Monitor vitals regularly,Exercise lightly,Maintain hygiene
"Lead-induced chronic gout, unspecified hip",Exercise lightly,Maintain hygiene,Avoid oily food,Drink plenty of water
Corrosion of first degree of multiple sites of left wrist and hand,Monitor vitals regularly,Maintain hygiene,Exercise lightly,Take medicines on time
Other calcerous corneal degeneration,Maintain hygiene,Drink plenty of water,Avoid oily food,Take medicines on time
Merkel cell carcinoma of overlapping sites,Drink plenty of water,Maintain hygiene,Avoid oily food,Monitor vitals regularly
"Burn of third degree of unspecified site of right lower limb, except ankle and foot",Avoid oily food,Monitor vitals regularly,Take medicines on time,Drink plenty of water
Retained metal fragments,Avoid oily food,Maintain hygiene,Get adequate rest,Monitor vitals regularly
Major laceration of unspecified pulmonary blood vessels,Maintain hygiene,Exercise lightly,Drink plenty of water,Get adequate rest
Sternal manubrial dissociation,Exercise lightly,Drink plenty of water,Avoid oily food,Maintain hygiene
Chronic atticoantral suppurative otitis media,Get adequate rest,Take medicines on time,Exercise lightly,Monitor vitals regularly
"Abscess of bursa, hand",Maintain hygiene,Monitor vitals regularly,Drink plenty of water,Take medicines on time
"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm",Drink plenty of water,Take medicines on time,Monitor vitals regularly,Maintain hygiene
"Laceration of intercostal blood vessels, unspecified side",Avoid oily food,Maintain hygiene,Take medicines on time,Monitor vitals regularly
"Drug-induced chronic gout, left hand",Avoid oily food,Take medicines on time,Exercise lightly,Drink plenty of water
"Encounter for contraceptive management, unspecified",Monitor vitals regularly,Drink plenty of water,Maintain hygiene,Exercise lightly
Unspecified occupant of bus injured in collision with other nonmotor vehicle in traffic accident,Avoid oily food,Get adequate rest,Drink plenty of water,Monitor vitals regularly
Nondisplaced pilon fracture of right tibia,Avoid oily food,Drink plenty of water,Exercise lightly,Maintain hygiene
Nocardiosis,Avoid oily food,Monitor vitals regularly,Maintain hygiene,Exercise lightly
Encounter for screening for certain developmental disorders in childhood,Avoid oily food,Take medicines on time,Monitor vitals regularly,Exercise lightly
Displaced fracture of body of left talus,Avoid oily food,Maintain hygiene,Exercise lightly,Get adequate rest
"Poisoning by other topical agents, accidental (unintentional)",Take medicines on time,Get adequate rest,Monitor vitals regularly,Maintain hygiene
"Gout, unspecified",Monitor vitals regularly,Take medicines on time,Drink plenty of water,Exercise lightly
"Laceration of axillary artery, right side",Exercise lightly,Maintain hygiene,Drink plenty of water,Take medicines on time
Carcinoma in situ of eye,Take medicines on time,Monitor vitals regularly,Avoid oily food,Exercise lightly
"Disorder of lipoprotein metabolism, unspecified",Monitor vitals regularly,Avoid oily food,Get adequate rest,Take medicines on time
Adverse effect of methylphenidate,Drink plenty of water,Get adequate rest,Avoid oily food,Take medicines on time
Peritonsillar abscess,Avoid oily food,Drink plenty of water,Take medicines on time,Get adequate rest
"Solitary bone cyst, shoulder",Take medicines on time,Get adequate rest,Drink plenty of water,Avoid oily food
Newborn affected by intrauterine (fetal) blood loss,Maintain hygiene,Get adequate rest,Monitor vitals regularly,Exercise lightly
"Unspecified disorder of synovium and tendon, other site",Monitor vitals regularly,Get adequate rest,Maintain hygiene,Avoid oily food
"Open bite of abdominal wall, right lower quadrant without penetration into peritoneal cavity",Monitor vitals regularly,Get adequate rest,Avoid oily food,Maintain hygiene
"Nicotine dependence, other tobacco product",Monitor vitals regularly,Drink plenty of water,Maintain hygiene,Avoid oily food
"Laceration with foreign body, left knee",Avoid oily food,Exercise lightly,Maintain hygiene,Drink plenty of water
Injury of unspecified cranial nerve,Drink plenty of water,Exercise lightly,Get adequate rest,Maintain hygiene
Dislocation of unspecified interphalangeal joint of left ring finger,Get adequate rest,Monitor vitals regularly,Take medicines on time,Avoid oily food
Pre-existing secondary hypertension complicating pregnancy,Take medicines on time,Avoid oily food,Get adequate rest,Drink plenty of water
Actinomycosis,Avoid oily food,Drink plenty of water,Take medicines on time,Exercise lightly
"Rheumatoid bursitis, vertebrae",Get adequate rest,Monitor vitals regularly,Maintain hygiene,Exercise lightly
Nondisplaced transverse fracture of shaft of unspecified fibula,Drink plenty of water,Monitor vitals regularly,Exercise lightly,Get adequate rest
Laceration with foreign body of scalp,Maintain hygiene,Drink plenty of water,Monitor vitals regularly,Avoid oily food
Partial traumatic amputation of left midfoot,Drink plenty of water,Monitor vitals regularly,Avoid oily food,Take medicines on time
Heat exposure on board sailboat,Take medicines on time,Get adequate rest,Drink plenty of water,Exercise lightly
"Undescended testicle, unilateral",Exercise lightly,Maintain hygiene,Get adequate rest,Avoid oily food
Infection and inflammatory reaction due to insulin pump,Exercise lightly,Avoid oily food,Maintain hygiene,Monitor vitals regularly
Unspecified injury to L2 level of lumbar spinal cord,Get adequate rest,Monitor vitals regularly,Avoid oily food,Exercise lightly
Superficial foreign body of scrotum and testes,Exercise lightly,Monitor vitals regularly,Maintain hygiene,Take medicines on time
"Strain of unspecified muscles, fascia and tendons at forearm level, right arm",Monitor vitals regularly,Avoid oily food,Get adequate rest,Maintain hygiene
"Laceration of other specified blood vessels at shoulder and upper arm level, right arm",Exercise lightly,Maintain hygiene,Drink plenty of water,Take medicines on time
"Toxic effect of sulfur dioxide, undetermined",Get adequate rest,Take medicines on time,Maintain hygiene,Monitor vitals regularly
Unspecified car occupant injured in collision with pick-up truck in traffic accident,Take medicines on time,Get adequate rest,Drink plenty of water,Maintain hygiene
"Pathological fracture in other disease, unspecified foot",Maintain hygiene,Drink plenty of water,Get adequate rest,Take medicines on time
Other localized connective tissue disorders,Take medicines on time,Get adequate rest,Maintain hygiene,Avoid oily food
"Medial subluxation of proximal end of tibia, left knee",Monitor vitals regularly,Get adequate rest,Exercise lightly,Maintain hygiene
"Other injury of bronchus, bilateral",Avoid oily food,Take medicines on time,Drink plenty of water,Get adequate rest
Immunization not carried out for other reason,Get adequate rest,Take medicines on time,Exercise lightly,Drink plenty of water
"Toxic effect of other specified inorganic substances, accidental (unintentional)",Monitor vitals regularly,Maintain hygiene,Avoid oily food,Exercise lightly
Contusion of rectum,Exercise lightly,Get adequate rest,Take medicines on time,Maintain hygiene
Person on outside of special industrial vehicle injured in traffic accident,Drink plenty of water,Take medicines on time,Exercise lightly,Monitor vitals regularly
Disorders of prepuce,Get adequate rest,Exercise lightly,Take medicines on time,Maintain hygiene
Congenital malformations of other endocrine glands,Monitor vitals regularly,Avoid oily food,Maintain hygiene,Take medicines on time
"Coma scale, best motor response, localizes pain",Avoid oily food,Drink plenty of water,Monitor vitals regularly,Take medicines on time
Embolism and thrombosis of unspecified vein,Take medicines on time,Drink plenty of water,Exercise lightly,Get adequate rest
"Unspecified injury of peroneal artery, unspecified leg",Avoid oily food,Drink plenty of water,Get adequate rest,Maintain hygiene
"Problem related to primary support group, unspecified",Maintain hygiene,Take medicines on time,Avoid oily food,Drink plenty of water
Displaced pilon fracture of left tibia,Drink plenty of water,Exercise lightly,Avoid oily food,Maintain hygiene
Burn of second degree of left shoulder,Exercise lightly,Monitor vitals regularly,Avoid oily food,Take medicines on time
Displaced fracture of lateral condyle of unspecified humerus,Maintain hygiene,Drink plenty of water,Take medicines on time,Get adequate rest
Struck by ice hockey puck,Take medicines on time,Maintain hygiene,Drink plenty of water,Get adequate rest
Other specified disorders of Eustachian tube,Avoid oily food,Take medicines on time,Get adequate rest,Maintain hygiene
"Ankylosis, wrist",Maintain hygiene,Get adequate rest,Monitor vitals regularly,Avoid oily food
Laceration without foreign body of lower back and pelvis with penetration into retroperitoneum,Exercise lightly,Avoid oily food,Get adequate rest,Drink plenty of water
"Nondisplaced transverse fracture of shaft of humerus, right arm",Take medicines on time,Drink plenty of water,Monitor vitals regularly,Avoid oily food
"Other specified injury of intrinsic muscle and tendon at ankle and foot level, right foot",Drink plenty of water,Get adequate rest,Exercise lightly,Maintain hygiene
Subluxation of C0/C1 cervical vertebrae,Avoid oily food,Take medicines on time,Get adequate rest,Exercise lightly
Central serous chorioretinopathy,Exercise lightly,Take medicines on time,Monitor vitals regularly,Drink plenty of water
Open bite of left front wall of thorax with penetration into thoracic cavity,Avoid oily food,Get adequate rest,Maintain hygiene,Take medicines on time
Other injury due to other accident to (nonpowered) inflatable craft,Avoid oily food,Get adequate rest,Drink plenty of water,Maintain hygiene
Unspecified occupant of bus injured in collision with heavy transport vehicle or bus in traffic accident,Monitor vitals regularly,Drink plenty of water,Maintain hygiene,Avoid oily food
Osteochondritis dissecans of elbow,Maintain hygiene,Avoid oily food,Get adequate rest,Take medicines on time
Corrosion of unspecified degree of lip(s),Drink plenty of water,Avoid oily food,Monitor vitals regularly,Maintain hygiene
Other traumatic nondisplaced spondylolisthesis of second cervical vertebra,Avoid oily food,Exercise lightly,Take medicines on time,Drink plenty of water
Congenital vasocutaneous fistula,Maintain hygiene,Drink plenty of water,Avoid oily food,Monitor vitals regularly
"Strain of muscle, fascia and tendon of long head of biceps, left arm",Take medicines on time,Avoid oily food,Exercise lightly,Monitor vitals regularly
Non-pressure chronic ulcer of right thigh,Drink plenty of water,Get adequate rest,Avoid oily food,Monitor vitals regularly
Torus fracture of upper end of right ulna,Monitor vitals regularly,Drink plenty of water,Maintain hygiene,Exercise lightly
Other incomplete lesion at T1 level of thoracic spinal cord,Drink plenty of water,Get adequate rest,Avoid oily food,Take medicines on time
Traumatic rupture of other ligament of unspecified finger at metacarpophalangeal and interphalangeal joint,Avoid oily food,Get adequate rest,Maintain hygiene,Monitor vitals regularly
Encounter for aftercare following multiple organ transplant,Take medicines on time,Get adequate rest,Drink plenty of water,Avoid oily food
"Kaschin-Beck disease, knee",Exercise lightly,Take medicines on time,Avoid oily food,Monitor vitals regularly
Scleromalacia perforans,Drink plenty of water,Monitor vitals regularly,Take medicines on time,Maintain hygiene
"Insect bite (nonvenomous), left hip",Monitor vitals regularly,Avoid oily food,Drink plenty of water,Exercise lightly
Motorcycle driver injured in collision with unspecified motor vehicles in traffic accident,Take medicines on time,Exercise lightly,Get adequate rest,Drink plenty of water
"Blister (nonthermal), right ankle",Take medicines on time,Avoid oily food,Drink plenty of water,Maintain hygiene
Other forms of systemic lupus erythematosus,Exercise lightly,Get adequate rest,Maintain hygiene,Monitor vitals regularly
Other fracture of right lesser toe(s),Drink plenty of water,Get adequate rest,Monitor vitals regularly,Maintain hygiene
Cellulitis and acute lymphangitis of face,Maintain hygiene,Exercise lightly,Drink plenty of water,Take medicines on time
"Unspecified open wound, left hip",Take medicines on time,Exercise lightly,Get adequate rest,Drink plenty of water
Malignant hyperthermia due to anesthesia,Monitor vitals regularly,Take medicines on time,Exercise lightly,Maintain hygiene
Traumatic rupture of other ligament of left index finger at metacarpophalangeal and interphalangeal joint,Monitor vitals regularly,Get adequate rest,Avoid oily food,Maintain hygiene
Activities involving walking and running,Exercise lightly,Take medicines on time,Get adequate rest,Drink plenty of water
"Toxic effect of copper and its compounds, assault",Monitor vitals regularly,Drink plenty of water,Avoid oily food,Maintain hygiene
"Foreign body granuloma of soft tissue, not elsewhere classified, thigh",Exercise lightly,Take medicines on time,Avoid oily food,Drink plenty of water
"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness",Exercise lightly,Avoid oily food,Get adequate rest,Take medicines on time
Vaginismus not due to a substance or known physiological condition,Monitor vitals regularly,Drink plenty of water,Avoid oily food,Get adequate rest
Laceration of unspecified part of colon,Avoid oily food,Exercise lightly,Get adequate rest,Monitor vitals regularly
"Toxic effect of cadmium and its compounds, accidental (unintentional)",Exercise lightly,Avoid oily food,Maintain hygiene,Monitor vitals regularly
"Displaced fracture of lunate [semilunar], unspecified wrist",Monitor vitals regularly,Avoid oily food,Get adequate rest,Take medicines on time
"Unspecified injury of extensor or abductor muscles, fascia and tendons of right thumb at forearm level",Take medicines on time,Maintain hygiene,Get adequate rest,Avoid oily food
Unspecified subluxation of right middle finger,Exercise lightly,Take medicines on time,Get adequate rest,Avoid oily food
"Other injury of flexor muscle, fascia and tendon of right ring finger at wrist and hand level",Get adequate rest,Take medicines on time,Maintain hygiene,Avoid oily food
"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident",Monitor vitals regularly,Avoid oily food,Drink plenty of water,Take medicines on time
"Abscess of tendon sheath, hand",Avoid oily food,Drink plenty of water,Get adequate rest,Take medicines on time
Other hypotension,Get adequate rest,Avoid oily food,Drink plenty of water,Monitor vitals regularly
Breakdown (mechanical) of permanent sutures,Drink plenty of water,Avoid oily food,Get adequate rest,Maintain hygiene
"Fracture of unspecified carpal bone, right wrist",Monitor vitals regularly,Exercise lightly,Get adequate rest,Avoid oily food
Barrett's esophagus with dysplasia,Maintain hygiene,Drink plenty of water,Exercise lightly,Take medicines on time
"Twin liveborn infant, born outside hospital",Exercise lightly,Maintain hygiene,Get adequate rest,Take medicines on time
Other specified fracture of unspecified acetabulum,Avoid oily food,Get adequate rest,Take medicines on time,Monitor vitals regularly
Local infection due to central venous catheter,Get adequate rest,Avoid oily food,Drink plenty of water,Exercise lightly
Osteolysis,Get adequate rest,Maintain hygiene,Take medicines on time,Monitor vitals regularly
Subluxation of right ankle joint,Take medicines on time,Exercise lightly,Get adequate rest,Avoid oily food
Unspecified disorder of ear,Maintain hygiene,Drink plenty of water,Take medicines on time,Avoid oily food
"Poisoning by other antiprotozoal drugs, intentional self-harm",Exercise lightly,Take medicines on time,Drink plenty of water,Avoid oily food
Major laceration of branches of celiac and mesenteric artery,Monitor vitals regularly,Take medicines on time,Get adequate rest,Maintain hygiene
Other fracture of unspecified patella,Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
"Other osteoporosis with current pathological fracture, left femur",Monitor vitals regularly,Drink plenty of water,Exercise lightly,Maintain hygiene
"Other psychoactive substance use, unspecified with withdrawal",Maintain hygiene,Avoid oily food,Monitor vitals regularly,Take medicines on time
Displacement of indwelling urethral catheter,Exercise lightly,Drink plenty of water,Avoid oily food,Maintain hygiene
Drug or chemical induced diabetes mellitus with neurological complications,Maintain hygiene,Monitor vitals regularly,Get adequate rest,Avoid oily food
Malignant neoplasm of other and ill-defined digestive organs,Get adequate rest,Monitor vitals regularly,Avoid oily food,Maintain hygiene
Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula,Get adequate rest,Maintain hygiene,Exercise lightly,Take medicines on time
"Fracture of angle of mandible, unspecified side",Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
"Infective myositis, lower leg",Exercise lightly,Take medicines on time,Avoid oily food,Get adequate rest
"Disease of esophagus, unspecified",Exercise lightly,Take medicines on time,Avoid oily food,Get adequate rest
Complex regional pain syndrome I of other specified site,Monitor vitals regularly,Maintain hygiene,Drink plenty of water,Exercise lightly
"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level",Exercise lightly,Monitor vitals regularly,Drink plenty of water,Maintain hygiene
Displaced unspecified fracture of unspecified lesser toe(s),Monitor vitals regularly,Exercise lightly,Get adequate rest,Maintain hygiene
Unspecified bus occupant injured in collision with unspecified motor vehicles in traffic accident,Take medicines on time,Exercise lightly,Maintain hygiene,Drink plenty of water
Direct infection of joint in infectious and parasitic diseases classified elsewhere,Drink plenty of water,Monitor vitals regularly,Exercise lightly,Maintain hygiene
Erythema in diseases classified elsewhere,Monitor vitals regularly,Avoid oily food,Get adequate rest,Maintain hygiene
Type 2 diabetes mellitus with diabetic cataract,Get adequate rest,Drink plenty of water,Avoid oily food,Monitor vitals regularly
Displacement of other cardiac electronic device,Exercise lightly,Get adequate rest,Drink plenty of water,Monitor vitals regularly
Unspecified mastoiditis,Monitor vitals regularly,Take medicines on time,Exercise lightly,Drink plenty of water
"Unspecified larger firearm discharge, undetermined intent",Exercise lightly,Maintain hygiene,Get adequate rest,Drink plenty of water
Chronic slipped upper femoral epiphysis (nontraumatic),Monitor vitals regularly,Exercise lightly,Drink plenty of water,Get adequate rest
"Unspecified injury of other blood vessels at forearm level, left arm",Maintain hygiene,Take medicines on time,Monitor vitals regularly,Drink plenty of water
Maternal care for compound presentation,Drink plenty of water,Avoid oily food,Maintain hygiene,Take medicines on time
Malignant immunoproliferative diseases and certain other B-cell lymphomas,Monitor vitals regularly,Maintain hygiene,Take medicines on time,Avoid oily food
"Corrosion of second degree of multiple sites of left shoulder and upper limb, except wrist and hand",Maintain hygiene,Monitor vitals regularly,Take medicines on time,Get adequate rest
"Calcification and ossification of muscles associated with burns, ankle and foot",Maintain hygiene,Monitor vitals regularly,Avoid oily food,Exercise lightly
"Other physeal fracture of upper end of humerus, right arm",Monitor vitals regularly,Avoid oily food,Get adequate rest,Exercise lightly
"Dysmenorrhea, unspecified",Maintain hygiene,Drink plenty of water,Get adequate rest,Monitor vitals regularly
"Other infective (teno)synovitis, hip",Drink plenty of water,Take medicines on time,Exercise lightly,Get adequate rest
Other specified fracture of right acetabulum,Avoid oily food,Monitor vitals regularly,Drink plenty of water,Take medicines on time
Superficial frostbite of unspecified hand,Take medicines on time,Avoid oily food,Monitor vitals regularly,Exercise lightly
Exposure to infrared radiation,Get adequate rest,Maintain hygiene,Drink plenty of water,Avoid oily food
"Other fracture of fourth metacarpal bone, left hand",Take medicines on time,Monitor vitals regularly,Avoid oily food,Drink plenty of water
Sprain of unspecified parts of thorax,Take medicines on time,Exercise lightly,Get adequate rest,Avoid oily food
"Juvenile rheumatoid arthritis with systemic onset, hand",Monitor vitals regularly,Get adequate rest,Exercise lightly,Maintain hygiene
Person boarding or alighting a car injured in collision with other type car,Avoid oily food,Maintain hygiene,Get adequate rest,Monitor vitals regularly
Other foreign body or object entering through skin,Get adequate rest,Maintain hygiene,Take medicines on time,Exercise lightly
"Other injury of muscle, fascia and tendon of other parts of biceps, unspecified arm",Exercise lightly,Maintain hygiene,Take medicines on time,Avoid oily food
Other spondylosis with myelopathy,Take medicines on time,Get adequate rest,Avoid oily food,Maintain hygiene
"Poisoning by tricyclic antidepressants, intentional self-harm",Exercise lightly,Avoid oily food,Monitor vitals regularly,Get adequate rest
Malignant neoplasm of other and unspecified urinary organs,Exercise lightly,Get adequate rest,Monitor vitals regularly,Avoid oily food
"Poisoning by therapeutic gases, assault",Take medicines on time,Avoid oily food,Exercise lightly,Monitor vitals regularly
Adverse effect of phenothiazine antipsychotics and neuroleptics,Avoid oily food,Maintain hygiene,Take medicines on time,Get adequate rest
Other disorders of kidney and ureter in diseases classified elsewhere,Drink plenty of water,Get adequate rest,Exercise lightly,Monitor vitals regularly
Other chronic osteomyelitis,Maintain hygiene,Exercise lightly,Drink plenty of water,Avoid oily food
Other scooter (nonmotorized) accident,Maintain hygiene,Avoid oily food,Take medicines on time,Exercise lightly
"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder",Drink plenty of water,Avoid oily food,Get adequate rest,Exercise lightly
"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm",Avoid oily food,Monitor vitals regularly,Take medicines on time,Get adequate rest
Diabetes mellitus due to underlying condition with ketoacidosis,Monitor vitals regularly,Avoid oily food,Get adequate rest,Maintain hygiene
"Toxic effect of contact with venomous toad, undetermined",Monitor vitals regularly,Drink plenty of water,Get adequate rest,Avoid oily food
Nondisplaced fracture of anterior process of left calcaneus,Get adequate rest,Avoid oily food,Exercise lightly,Maintain hygiene
Driver of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident,Take medicines on time,Monitor vitals regularly,Maintain hygiene,Avoid oily food
"Military operations involving gasoline bomb, military personnel",Take medicines on time,Drink plenty of water,Exercise lightly,Monitor vitals regularly
"Pauciarticular juvenile rheumatoid arthritis, ankle and foot",Monitor vitals regularly,Exercise lightly,Get adequate rest,Avoid oily food
Nonrheumatic pulmonary valve disorders,Maintain hygiene,Drink plenty of water,Exercise lightly,Get adequate rest
Cerebral vasospasm and vasoconstriction,Drink plenty of water,Take medicines on time,Avoid oily food,Exercise lightly
Corrosion of first degree of unspecified elbow,Maintain hygiene,Avoid oily food,Monitor vitals regularly,Drink plenty of water
Other respiratory conditions originating in the perinatal period,Take medicines on time,Drink plenty of water,Avoid oily food,Monitor vitals regularly
External constriction of nose,Monitor vitals regularly,Exercise lightly,Take medicines on time,Avoid oily food
Obstruction due to foreign body accidentally left in body following removal of catheter or packing,Avoid oily food,Get adequate rest,Drink plenty of water,Take medicines on time
Other specified injury of left renal artery,Drink plenty of water,Avoid oily food,Exercise lightly,Monitor vitals regularly
"Other specified injury of intrinsic muscle and tendon at ankle and foot level, unspecified foot",Get adequate rest,Maintain hygiene,Exercise lightly,Monitor vitals regularly
"Asphyxiation due to plastic bag, accidental",Drink plenty of water,Avoid oily food,Maintain hygiene,Exercise lightly
"Complication of labor and delivery, unspecified",Drink plenty of water,Maintain hygiene,Take medicines on time,Exercise lightly
"Rheumatoid nodule, multiple sites",Take medicines on time,Exercise lightly,Avoid oily food,Maintain hygiene
"Laceration of other specified muscles and tendons at ankle and foot level, right foot",Maintain hygiene,Avoid oily food,Get adequate rest,Monitor vitals regularly
"Toxic effect of corrosive alkalis and alkali-like substances, assault",Drink plenty of water,Avoid oily food,Exercise lightly,Get adequate rest
"Poisoning by antidotes and chelating agents, undetermined",Monitor vitals regularly,Maintain hygiene,Get adequate rest,Drink plenty of water
Androgenic alopecia,Avoid oily food,Get adequate rest,Monitor vitals regularly,Exercise lightly
Unspecified superficial injury of anus,Get adequate rest,Drink plenty of water,Monitor vitals regularly,Maintain hygiene
Laceration of descending [left] colon,Get adequate rest,Monitor vitals regularly,Exercise lightly,Maintain hygiene
"Burn of first degree of multiple sites of head, face, and neck",Take medicines on time,Avoid oily food,Maintain hygiene,Monitor vitals regularly
"Poisoning by penicillins, intentional self-harm",Drink plenty of water,Maintain hygiene,Get adequate rest,Exercise lightly
Insect bite (nonvenomous) of unspecified upper arm,Avoid oily food,Maintain hygiene,Exercise lightly,Take medicines on time
Incarcerated fracture (avulsion) of medial epicondyle of left humerus,Maintain hygiene,Get adequate rest,Drink plenty of water,Avoid oily food
Unilateral primary osteoarthritis of knee,Monitor vitals regularly,Avoid oily food,Take medicines on time,Get adequate rest
Puncture wound without foreign body of left little finger with damage to nail,Get adequate rest,Exercise lightly,Avoid oily food,Take medicines on time
Laceration without foreign body of other finger without damage to nail,Maintain hygiene,Avoid oily food,Monitor vitals regularly,Get adequate rest
"Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites",Avoid oily food,Take medicines on time,Drink plenty of water,Get adequate rest
"Laceration without foreign body, right foot",Get adequate rest,Exercise lightly,Take medicines on time,Monitor vitals regularly
Nondisplaced fracture of distal phalanx of other finger,Exercise lightly,Drink plenty of water,Take medicines on time,Maintain hygiene
Anterior cord syndrome at C2 level of cervical spinal cord,Drink plenty of water,Maintain hygiene,Monitor vitals regularly,Exercise lightly
"Insect bite (nonvenomous), right lesser toe(s)",Monitor vitals regularly,Maintain hygiene,Drink plenty of water,Exercise lightly
Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris,Drink plenty of water,Exercise lightly,Monitor vitals regularly,Avoid oily food
Puncture wound with foreign body of right middle finger without damage to nail,Monitor vitals regularly,Take medicines on time,Drink plenty of water,Exercise lightly
"Partial traumatic amputation of right lower leg, level unspecified",Drink plenty of water,Maintain hygiene,Get adequate rest,Take medicines on time
Intentional self-harm by other hot objects,Exercise lightly,Get adequate rest,Maintain hygiene,Avoid oily food
"Legal intervention involving other firearm discharge, law enforcement official injured",Drink plenty of water,Maintain hygiene,Avoid oily food,Monitor vitals regularly
Airway disease due to specific organic dust,Take medicines on time,Monitor vitals regularly,Avoid oily food,Maintain hygiene
"Poisoning by intravenous anesthetics, undetermined",Maintain hygiene,Monitor vitals regularly,Get adequate rest,Drink plenty of water
"Encounter for prophylactic measures, unspecified",Avoid oily food,Drink plenty of water,Exercise lightly,Monitor vitals regularly
"Arthropathies in other specified diseases classified elsewhere, hip",Get adequate rest,Avoid oily food,Exercise lightly,Drink plenty of water
Partial loss of teeth due to other specified cause,Maintain hygiene,Drink plenty of water,Get adequate rest,Exercise lightly
Laceration of heart without hemopericardium,Exercise lightly,Drink plenty of water,Maintain hygiene,Take medicines on time
