Disease,Description
"Procedure and treatment not carried out, unspecified reason","Procedure and treatment not carried out, unspecified reason is a medical condition that requires attention. Symptoms may vary."
Disorders of fatty-acid oxidation,Disorders of fatty-acid oxidation is a medical condition that requires attention. Symptoms may vary.
Displaced fracture of lateral condyle of left femur,Displaced fracture of lateral condyle of left femur is a medical condition that requires attention. Symptoms may vary.
Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes,Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes is a medical condition that requires attention. Symptoms may vary.
"Osteitis deformans in neoplastic diseases, shoulder","Osteitis deformans in neoplastic diseases, shoulder is a medical condition that requires attention. Symptoms may vary."
"Medial subluxation of proximal end of tibia, right knee","Medial subluxation of proximal end of tibia, right knee is a medical condition that requires attention. Symptoms may vary."
Contusion of unspecified urinary and pelvic organ,Contusion of unspecified urinary and pelvic organ is a medical condition that requires attention. Symptoms may vary.
Jumping or diving from boat striking bottom causing other injury,Jumping or diving from boat striking bottom causing other injury is a medical condition that requires attention. Symptoms may vary.
Other ovarian dysfunction,Other ovarian dysfunction is a medical condition that requires attention. Symptoms may vary.
"Opioid use, unspecified with opioid-induced mood disorder","Opioid use, unspecified with opioid-induced mood disorder is a medical condition that requires attention. Symptoms may vary."
Person boarding or alighting a motorcycle injured in collision with heavy transport vehicle or bus,Person boarding or alighting a motorcycle injured in collision with heavy transport vehicle or bus is a medical condition that requires attention. Symptoms may vary.
Retinal detachment with giant retinal tear,Retinal detachment with giant retinal tear is a medical condition that requires attention. Symptoms may vary.
"Injury of ulnar nerve at forearm level, left arm","Injury of ulnar nerve at forearm level, left arm is a medical condition that requires attention. Symptoms may vary."
"Contusion of breast, unspecified breast","Contusion of breast, unspecified breast is a medical condition that requires attention. Symptoms may vary."
"Minor laceration of greater saphenous vein at hip and thigh level, left leg","Minor laceration of greater saphenous vein at hip and thigh level, left leg is a medical condition that requires attention. Symptoms may vary."
Nondisplaced fracture of proximal phalanx of unspecified finger,Nondisplaced fracture of proximal phalanx of unspecified finger is a medical condition that requires attention. Symptoms may vary.
Contusion of left middle finger with damage to nail,Contusion of left middle finger with damage to nail is a medical condition that requires attention. Symptoms may vary.
Fracture of unspecified phalanx of right index finger,Fracture of unspecified phalanx of right index finger is a medical condition that requires attention. Symptoms may vary.
Mononeuropathy in diseases classified elsewhere,Mononeuropathy in diseases classified elsewhere is a medical condition that requires attention. Symptoms may vary.
Other difficulties with micturition,Other difficulties with micturition is a medical condition that requires attention. Symptoms may vary.
Displaced fracture (avulsion) of medial epicondyle of left humerus,Displaced fracture (avulsion) of medial epicondyle of left humerus is a medical condition that requires attention. Symptoms may vary.
Anterior dislocation of left humerus,Anterior dislocation of left humerus is a medical condition that requires attention. Symptoms may vary.
Subluxation of other parts of right shoulder girdle,Subluxation of other parts of right shoulder girdle is a medical condition that requires attention. Symptoms may vary.
Acute mastoiditis with other complications,Acute mastoiditis with other complications is a medical condition that requires attention. Symptoms may vary.
"Arthritis due to other bacteria, ankle and foot","Arthritis due to other bacteria, ankle and foot is a medical condition that requires attention. Symptoms may vary."
Unspecified paralytic strabismus,Unspecified paralytic strabismus is a medical condition that requires attention. Symptoms may vary.
Unspecified sprain of left shoulder joint,Unspecified sprain of left shoulder joint is a medical condition that requires attention. Symptoms may vary.
Ulcerative blepharitis,Ulcerative blepharitis is a medical condition that requires attention. Symptoms may vary.
Contusion of heart without hemopericardium,Contusion of heart without hemopericardium is a medical condition that requires attention. Symptoms may vary.
Insect bite (nonvenomous) of anus,Insect bite (nonvenomous) of anus is a medical condition that requires attention. Symptoms may vary.
Other recurrent atlantoaxial dislocation,Other recurrent atlantoaxial dislocation is a medical condition that requires attention. Symptoms may vary.
Other congenital malformations of fallopian tube and broad ligament,Other congenital malformations of fallopian tube and broad ligament is a medical condition that requires attention. Symptoms may vary.
Unspecified superficial injury of right hip,Unspecified superficial injury of right hip is a medical condition that requires attention. Symptoms may vary.
Nondisplaced longitudinal fracture of unspecified patella,Nondisplaced longitudinal fracture of unspecified patella is a medical condition that requires attention. Symptoms may vary.
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident","Pedestrian on skateboard injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident is a medical condition that requires attention. Symptoms may vary."
Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident,Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
Struck by field hockey puck,Struck by field hockey puck is a medical condition that requires attention. Symptoms may vary.
Displaced oblique fracture of shaft of right ulna,Displaced oblique fracture of shaft of right ulna is a medical condition that requires attention. Symptoms may vary.
"Monoarthritis, not elsewhere classified, shoulder","Monoarthritis, not elsewhere classified, shoulder is a medical condition that requires attention. Symptoms may vary."
Other fracture of lower end of unspecified ulna,Other fracture of lower end of unspecified ulna is a medical condition that requires attention. Symptoms may vary.
"Developmental disorder of speech and language, unspecified","Developmental disorder of speech and language, unspecified is a medical condition that requires attention. Symptoms may vary."
Adverse effect of oral contraceptives,Adverse effect of oral contraceptives is a medical condition that requires attention. Symptoms may vary.
Displaced fracture of posterior column [ilioischial] of unspecified acetabulum,Displaced fracture of posterior column [ilioischial] of unspecified acetabulum is a medical condition that requires attention. Symptoms may vary.
Nondisplaced Maisonneuve's fracture of unspecified leg,Nondisplaced Maisonneuve's fracture of unspecified leg is a medical condition that requires attention. Symptoms may vary.
ABO incompatibility with delayed hemolytic transfusion reaction,ABO incompatibility with delayed hemolytic transfusion reaction is a medical condition that requires attention. Symptoms may vary.
Burn of second degree of lip(s),Burn of second degree of lip(s) is a medical condition that requires attention. Symptoms may vary.
Adverse effect of mineralocorticoids and their antagonists,Adverse effect of mineralocorticoids and their antagonists is a medical condition that requires attention. Symptoms may vary.
Other specified injuries of right lower leg,Other specified injuries of right lower leg is a medical condition that requires attention. Symptoms may vary.
Other physeal fracture of upper end of unspecified fibula,Other physeal fracture of upper end of unspecified fibula is a medical condition that requires attention. Symptoms may vary.
Complete traumatic metacarpophalangeal amputation of unspecified finger,Complete traumatic metacarpophalangeal amputation of unspecified finger is a medical condition that requires attention. Symptoms may vary.
Opioid dependence with withdrawal,Opioid dependence with withdrawal is a medical condition that requires attention. Symptoms may vary.
Maternal care for unstable lie,Maternal care for unstable lie is a medical condition that requires attention. Symptoms may vary.
"Nondisplaced fracture of shaft of fourth metacarpal bone, left hand","Nondisplaced fracture of shaft of fourth metacarpal bone, left hand is a medical condition that requires attention. Symptoms may vary."
Diffuse secondary atrophy of choroid,Diffuse secondary atrophy of choroid is a medical condition that requires attention. Symptoms may vary.
Occupational exposure to vibration,Occupational exposure to vibration is a medical condition that requires attention. Symptoms may vary.
"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder is a medical condition that requires attention. Symptoms may vary."
Fracture of unspecified part of neck of right femur,Fracture of unspecified part of neck of right femur is a medical condition that requires attention. Symptoms may vary.
Puncture wound without foreign body of unspecified front wall of thorax without penetration into thoracic cavity,Puncture wound without foreign body of unspecified front wall of thorax without penetration into thoracic cavity is a medical condition that requires attention. Symptoms may vary.
"Poisoning by unspecified primarily systemic and hematological agent, accidental (unintentional)","Poisoning by unspecified primarily systemic and hematological agent, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
External constriction of part of throat,External constriction of part of throat is a medical condition that requires attention. Symptoms may vary.
Laceration of blood vessel of left ring finger,Laceration of blood vessel of left ring finger is a medical condition that requires attention. Symptoms may vary.
Partial traumatic amputation of right midfoot,Partial traumatic amputation of right midfoot is a medical condition that requires attention. Symptoms may vary.
Corrosion of unspecified degree of left ankle,Corrosion of unspecified degree of left ankle is a medical condition that requires attention. Symptoms may vary.
Renal agenesis and other reduction defects of kidney,Renal agenesis and other reduction defects of kidney is a medical condition that requires attention. Symptoms may vary.
Displaced fracture of posterior process of unspecified talus,Displaced fracture of posterior process of unspecified talus is a medical condition that requires attention. Symptoms may vary.
Congenital malformations of uterus and cervix,Congenital malformations of uterus and cervix is a medical condition that requires attention. Symptoms may vary.
Encounter for screening for eye and ear disorders,Encounter for screening for eye and ear disorders is a medical condition that requires attention. Symptoms may vary.
Pulmonary embolism with acute cor pulmonale,Pulmonary embolism with acute cor pulmonale is a medical condition that requires attention. Symptoms may vary.
Injury of digital nerve of left ring finger,Injury of digital nerve of left ring finger is a medical condition that requires attention. Symptoms may vary.
"Myelodysplastic disease, not classified","Myelodysplastic disease, not classified is a medical condition that requires attention. Symptoms may vary."
"Nondisplaced fracture of glenoid cavity of scapula, left shoulder","Nondisplaced fracture of glenoid cavity of scapula, left shoulder is a medical condition that requires attention. Symptoms may vary."
Acute respiratory failure,Acute respiratory failure is a medical condition that requires attention. Symptoms may vary.
Chronic osteomyelitis with draining sinus,Chronic osteomyelitis with draining sinus is a medical condition that requires attention. Symptoms may vary.
Other superficial bite of oral cavity,Other superficial bite of oral cavity is a medical condition that requires attention. Symptoms may vary.
"Carcinoma in situ of skin, unspecified","Carcinoma in situ of skin, unspecified is a medical condition that requires attention. Symptoms may vary."
Car passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident,Car passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
"Poisoning by aspirin, accidental (unintentional)","Poisoning by aspirin, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Burn of first degree of unspecified thigh,Burn of first degree of unspecified thigh is a medical condition that requires attention. Symptoms may vary.
"Bennett's fracture, right hand","Bennett's fracture, right hand is a medical condition that requires attention. Symptoms may vary."
Burn with resulting rupture and destruction of unspecified eyeball,Burn with resulting rupture and destruction of unspecified eyeball is a medical condition that requires attention. Symptoms may vary.
Other specified diabetes mellitus with kidney complications,Other specified diabetes mellitus with kidney complications is a medical condition that requires attention. Symptoms may vary.
Partial traumatic amputation at left shoulder joint,Partial traumatic amputation at left shoulder joint is a medical condition that requires attention. Symptoms may vary.
Encounter for surveillance of vaginal ring hormonal contraceptive device,Encounter for surveillance of vaginal ring hormonal contraceptive device is a medical condition that requires attention. Symptoms may vary.
Ill-defined and unknown cause of mortality,Ill-defined and unknown cause of mortality is a medical condition that requires attention. Symptoms may vary.
Salter-Harris Type II physeal fracture of upper end of unspecified fibula,Salter-Harris Type II physeal fracture of upper end of unspecified fibula is a medical condition that requires attention. Symptoms may vary.
Other specified injury of unspecified carotid artery,Other specified injury of unspecified carotid artery is a medical condition that requires attention. Symptoms may vary.
"Superficial foreign body of unspecified external genital organs, female","Superficial foreign body of unspecified external genital organs, female is a medical condition that requires attention. Symptoms may vary."
Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident,Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident is a medical condition that requires attention. Symptoms may vary.
Neoplasm of uncertain behavior of appendix,Neoplasm of uncertain behavior of appendix is a medical condition that requires attention. Symptoms may vary.
"Other specified injury of vein at forearm level, right arm","Other specified injury of vein at forearm level, right arm is a medical condition that requires attention. Symptoms may vary."
"Laceration without foreign body, right hip","Laceration without foreign body, right hip is a medical condition that requires attention. Symptoms may vary."
Foreign body in vulva and vagina,Foreign body in vulva and vagina is a medical condition that requires attention. Symptoms may vary.
Ulcerative (chronic) pancolitis with complications,Ulcerative (chronic) pancolitis with complications is a medical condition that requires attention. Symptoms may vary.
Corrosion of first degree of multiple sites of left ankle and foot,Corrosion of first degree of multiple sites of left ankle and foot is a medical condition that requires attention. Symptoms may vary.
Dacryops,Dacryops is a medical condition that requires attention. Symptoms may vary.
"Muscle wasting and atrophy, not elsewhere classified, ankle and foot","Muscle wasting and atrophy, not elsewhere classified, ankle and foot is a medical condition that requires attention. Symptoms may vary."
Encounter for other prophylactic surgery,Encounter for other prophylactic surgery is a medical condition that requires attention. Symptoms may vary.
Unspecified superficial injury of unspecified upper arm,Unspecified superficial injury of unspecified upper arm is a medical condition that requires attention. Symptoms may vary.
Person on outside of bus injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,Person on outside of bus injured in collision with two- or three-wheeled motor vehicle in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Burn of second degree of left upper arm,Burn of second degree of left upper arm is a medical condition that requires attention. Symptoms may vary.
Sprain of anterior cruciate ligament of right knee,Sprain of anterior cruciate ligament of right knee is a medical condition that requires attention. Symptoms may vary.
Alveolar and parieto-alveolar conditions,Alveolar and parieto-alveolar conditions is a medical condition that requires attention. Symptoms may vary.
Other superficial bite of right shoulder,Other superficial bite of right shoulder is a medical condition that requires attention. Symptoms may vary.
"Corrosion of unspecified degree of head, face, and neck, unspecified site","Corrosion of unspecified degree of head, face, and neck, unspecified site is a medical condition that requires attention. Symptoms may vary."
Leakage of femoral arterial graft (bypass),Leakage of femoral arterial graft (bypass) is a medical condition that requires attention. Symptoms may vary.
Glider (nonpowered) fire injuring occupant,Glider (nonpowered) fire injuring occupant is a medical condition that requires attention. Symptoms may vary.
Sprain of anterior cruciate ligament of unspecified knee,Sprain of anterior cruciate ligament of unspecified knee is a medical condition that requires attention. Symptoms may vary.
"Other specified joint disorders, shoulder","Other specified joint disorders, shoulder is a medical condition that requires attention. Symptoms may vary."
Exposure to high air pressure from rapid descent in water,Exposure to high air pressure from rapid descent in water is a medical condition that requires attention. Symptoms may vary.
Burn of unspecified degree of multiple sites of right wrist and hand,Burn of unspecified degree of multiple sites of right wrist and hand is a medical condition that requires attention. Symptoms may vary.
Bitten by other fish,Bitten by other fish is a medical condition that requires attention. Symptoms may vary.
Benign neoplasm of bones of skull and face,Benign neoplasm of bones of skull and face is a medical condition that requires attention. Symptoms may vary.
"Other complications following infusion, transfusion and therapeutic injection","Other complications following infusion, transfusion and therapeutic injection is a medical condition that requires attention. Symptoms may vary."
Neoplasm of uncertain behavior of other and unspecified sites,Neoplasm of uncertain behavior of other and unspecified sites is a medical condition that requires attention. Symptoms may vary.
Burn of second degree of right foot,Burn of second degree of right foot is a medical condition that requires attention. Symptoms may vary.
Neonatal jaundice from other and unspecified hepatocellular damage,Neonatal jaundice from other and unspecified hepatocellular damage is a medical condition that requires attention. Symptoms may vary.
"Poisoning by unspecified narcotics, accidental (unintentional)","Poisoning by unspecified narcotics, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Sepsis due to Staphylococcus aureus,Sepsis due to Staphylococcus aureus is a medical condition that requires attention. Symptoms may vary.
Unspecified sprain of unspecified lesser toe(s),Unspecified sprain of unspecified lesser toe(s) is a medical condition that requires attention. Symptoms may vary.
"Other secondary chronic gout, right hip","Other secondary chronic gout, right hip is a medical condition that requires attention. Symptoms may vary."
Unspecified astigmatism,Unspecified astigmatism is a medical condition that requires attention. Symptoms may vary.
Radicular cyst,Radicular cyst is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of venom of wasps, undetermined","Toxic effect of venom of wasps, undetermined is a medical condition that requires attention. Symptoms may vary."
Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less,Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less is a medical condition that requires attention. Symptoms may vary.
Traumatic secondary and recurrent hemorrhage and seroma,Traumatic secondary and recurrent hemorrhage and seroma is a medical condition that requires attention. Symptoms may vary.
Triploidy and polyploidy,Triploidy and polyploidy is a medical condition that requires attention. Symptoms may vary.
"Postprocedural urethral stricture, female","Postprocedural urethral stricture, female is a medical condition that requires attention. Symptoms may vary."
"Pathological fracture, right ankle","Pathological fracture, right ankle is a medical condition that requires attention. Symptoms may vary."
Anterior displaced fracture of sternal end of right clavicle,Anterior displaced fracture of sternal end of right clavicle is a medical condition that requires attention. Symptoms may vary.
Other fracture of right patella,Other fracture of right patella is a medical condition that requires attention. Symptoms may vary.
Other feeding problems of newborn,Other feeding problems of newborn is a medical condition that requires attention. Symptoms may vary.
Acute embolism and thrombosis of femoral vein,Acute embolism and thrombosis of femoral vein is a medical condition that requires attention. Symptoms may vary.
Encounter for antineoplastic chemotherapy and immunotherapy,Encounter for antineoplastic chemotherapy and immunotherapy is a medical condition that requires attention. Symptoms may vary.
"Minor laceration of femoral artery, left leg","Minor laceration of femoral artery, left leg is a medical condition that requires attention. Symptoms may vary."
Sprain of metatarsophalangeal joint of right great toe,Sprain of metatarsophalangeal joint of right great toe is a medical condition that requires attention. Symptoms may vary.
Other congenital malformations of uterus,Other congenital malformations of uterus is a medical condition that requires attention. Symptoms may vary.
Breakdown (mechanical) of electronic bone stimulator,Breakdown (mechanical) of electronic bone stimulator is a medical condition that requires attention. Symptoms may vary.
"Strain of other extensor muscle, fascia and tendon at forearm level, left arm","Strain of other extensor muscle, fascia and tendon at forearm level, left arm is a medical condition that requires attention. Symptoms may vary."
"Pathological fracture in other disease, left humerus","Pathological fracture in other disease, left humerus is a medical condition that requires attention. Symptoms may vary."
Paracoccidioidomycosis,Paracoccidioidomycosis is a medical condition that requires attention. Symptoms may vary.
Other congenital malformations of face and neck,Other congenital malformations of face and neck is a medical condition that requires attention. Symptoms may vary.
"Poisoning by other hormones and synthetic substitutes, intentional self-harm","Poisoning by other hormones and synthetic substitutes, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
Person boarding or alighting a heavy transport vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting,Person boarding or alighting a heavy transport vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting is a medical condition that requires attention. Symptoms may vary.
"Laceration of other blood vessels at abdomen, lower back and pelvis level","Laceration of other blood vessels at abdomen, lower back and pelvis level is a medical condition that requires attention. Symptoms may vary."
Manic episode without psychotic symptoms,Manic episode without psychotic symptoms is a medical condition that requires attention. Symptoms may vary.
Balloon fire injuring occupant,Balloon fire injuring occupant is a medical condition that requires attention. Symptoms may vary.
Periodic headache syndromes in child or adult,Periodic headache syndromes in child or adult is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of other organic solvents, undetermined","Toxic effect of other organic solvents, undetermined is a medical condition that requires attention. Symptoms may vary."
Unspecified mononeuropathy of lower limb,Unspecified mononeuropathy of lower limb is a medical condition that requires attention. Symptoms may vary.
Ulnar collateral ligament sprain of right elbow,Ulnar collateral ligament sprain of right elbow is a medical condition that requires attention. Symptoms may vary.
Other seizures,Other seizures is a medical condition that requires attention. Symptoms may vary.
"Superficial foreign body, left lower leg","Superficial foreign body, left lower leg is a medical condition that requires attention. Symptoms may vary."
Posterior dislocation of left sternoclavicular joint,Posterior dislocation of left sternoclavicular joint is a medical condition that requires attention. Symptoms may vary.
"Unspecified physeal fracture of upper end of radius, right arm","Unspecified physeal fracture of upper end of radius, right arm is a medical condition that requires attention. Symptoms may vary."
Encounter for antenatal screening of mother,Encounter for antenatal screening of mother is a medical condition that requires attention. Symptoms may vary.
"Unspecified injury of other blood vessels at ankle and foot level, unspecified leg","Unspecified injury of other blood vessels at ankle and foot level, unspecified leg is a medical condition that requires attention. Symptoms may vary."
Trigonitis,Trigonitis is a medical condition that requires attention. Symptoms may vary.
"Laceration of extensor muscle, fascia and tendon of other finger at wrist and hand level","Laceration of extensor muscle, fascia and tendon of other finger at wrist and hand level is a medical condition that requires attention. Symptoms may vary."
"Burn of unspecified degree of left hand, unspecified site","Burn of unspecified degree of left hand, unspecified site is a medical condition that requires attention. Symptoms may vary."
"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture","Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture is a medical condition that requires attention. Symptoms may vary."
Chronic inflammatory disorders of orbit,Chronic inflammatory disorders of orbit is a medical condition that requires attention. Symptoms may vary.
Crigler-Najjar syndrome,Crigler-Najjar syndrome is a medical condition that requires attention. Symptoms may vary.
Unspecified fall,Unspecified fall is a medical condition that requires attention. Symptoms may vary.
Spastic entropion of eyelid,Spastic entropion of eyelid is a medical condition that requires attention. Symptoms may vary.
Hemorrhagic disorder due to extrinsic circulating anticoagulants,Hemorrhagic disorder due to extrinsic circulating anticoagulants is a medical condition that requires attention. Symptoms may vary.
Retinal detachment with single break,Retinal detachment with single break is a medical condition that requires attention. Symptoms may vary.
Ischiocapsular ligament sprain of unspecified hip,Ischiocapsular ligament sprain of unspecified hip is a medical condition that requires attention. Symptoms may vary.
Postencephalitic parkinsonism,Postencephalitic parkinsonism is a medical condition that requires attention. Symptoms may vary.
Blister (nonthermal) of right elbow,Blister (nonthermal) of right elbow is a medical condition that requires attention. Symptoms may vary.
Corrosion of third degree of single right finger (nail) except thumb,Corrosion of third degree of single right finger (nail) except thumb is a medical condition that requires attention. Symptoms may vary.
Accidental malfunction of paintball gun,Accidental malfunction of paintball gun is a medical condition that requires attention. Symptoms may vary.
Superficial foreign body of right wrist,Superficial foreign body of right wrist is a medical condition that requires attention. Symptoms may vary.
Person on outside of car injured in collision with railway train or railway vehicle in nontraffic accident,Person on outside of car injured in collision with railway train or railway vehicle in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Salter-Harris Type IV physeal fracture of unspecified metatarsal,Salter-Harris Type IV physeal fracture of unspecified metatarsal is a medical condition that requires attention. Symptoms may vary.
Unspecified open wound of left hand,Unspecified open wound of left hand is a medical condition that requires attention. Symptoms may vary.
Dysphasia and aphasia,Dysphasia and aphasia is a medical condition that requires attention. Symptoms may vary.
"Malignant neoplasm of nipple and areola, female","Malignant neoplasm of nipple and areola, female is a medical condition that requires attention. Symptoms may vary."
Struck by falling object on other unpowered watercraft,Struck by falling object on other unpowered watercraft is a medical condition that requires attention. Symptoms may vary.
"Supraglottitis, unspecified","Supraglottitis, unspecified is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of venom of black widow spider, intentional self-harm","Toxic effect of venom of black widow spider, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
Other pulmonary heart diseases,Other pulmonary heart diseases is a medical condition that requires attention. Symptoms may vary.
Hallucinogen dependence with unspecified hallucinogen-induced disorder,Hallucinogen dependence with unspecified hallucinogen-induced disorder is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of petroleum products, assault","Toxic effect of petroleum products, assault is a medical condition that requires attention. Symptoms may vary."
Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of contact with venomous frog, intentional self-harm","Toxic effect of contact with venomous frog, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
Gastric contents in esophagus causing compression of trachea,Gastric contents in esophagus causing compression of trachea is a medical condition that requires attention. Symptoms may vary.
Occupant of streetcar injured in unspecified traffic accident,Occupant of streetcar injured in unspecified traffic accident is a medical condition that requires attention. Symptoms may vary.
Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Unspecified open wound of left front wall of thorax without penetration into thoracic cavity,Unspecified open wound of left front wall of thorax without penetration into thoracic cavity is a medical condition that requires attention. Symptoms may vary.
Other specified acquired deformities of musculoskeletal system,Other specified acquired deformities of musculoskeletal system is a medical condition that requires attention. Symptoms may vary.
Unspecified foreign body in trachea causing asphyxiation,Unspecified foreign body in trachea causing asphyxiation is a medical condition that requires attention. Symptoms may vary.
Drowning and submersion due to falling or jumping from other burning powered watercraft,Drowning and submersion due to falling or jumping from other burning powered watercraft is a medical condition that requires attention. Symptoms may vary.
"Compartment syndrome, unspecified","Compartment syndrome, unspecified is a medical condition that requires attention. Symptoms may vary."
Corrosion of third degree of forehead and cheek,Corrosion of third degree of forehead and cheek is a medical condition that requires attention. Symptoms may vary.
"Nondisplaced fracture of coracoid process, unspecified shoulder","Nondisplaced fracture of coracoid process, unspecified shoulder is a medical condition that requires attention. Symptoms may vary."
Osteochondritis dissecans of wrist,Osteochondritis dissecans of wrist is a medical condition that requires attention. Symptoms may vary.
Postcholecystectomy syndrome,Postcholecystectomy syndrome is a medical condition that requires attention. Symptoms may vary.
"Military operations involving unspecified explosion and fragments, military personnel","Military operations involving unspecified explosion and fragments, military personnel is a medical condition that requires attention. Symptoms may vary."
Unspecified atrial fibrillation and atrial flutter,Unspecified atrial fibrillation and atrial flutter is a medical condition that requires attention. Symptoms may vary.
"Drug-induced chronic gout, unspecified knee","Drug-induced chronic gout, unspecified knee is a medical condition that requires attention. Symptoms may vary."
"Biomechanical lesion, unspecified","Biomechanical lesion, unspecified is a medical condition that requires attention. Symptoms may vary."
"Injury of trochlear nerve, unspecified side","Injury of trochlear nerve, unspecified side is a medical condition that requires attention. Symptoms may vary."
Other acute myringitis,Other acute myringitis is a medical condition that requires attention. Symptoms may vary.
"Major depressive disorder, recurrent","Major depressive disorder, recurrent is a medical condition that requires attention. Symptoms may vary."
Fall due to collision between merchant ship and other watercraft or other object,Fall due to collision between merchant ship and other watercraft or other object is a medical condition that requires attention. Symptoms may vary.
"Other chondrocalcinosis, multiple sites","Other chondrocalcinosis, multiple sites is a medical condition that requires attention. Symptoms may vary."
"Malformation of placenta, unspecified","Malformation of placenta, unspecified is a medical condition that requires attention. Symptoms may vary."
"Poisoning by enzymes, intentional self-harm","Poisoning by enzymes, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
Air embolism in the puerperium,Air embolism in the puerperium is a medical condition that requires attention. Symptoms may vary.
"Injury of other cranial nerves, left side","Injury of other cranial nerves, left side is a medical condition that requires attention. Symptoms may vary."
Contusion of left ankle,Contusion of left ankle is a medical condition that requires attention. Symptoms may vary.
Irritant contact dermatitis,Irritant contact dermatitis is a medical condition that requires attention. Symptoms may vary.
Other specified conditions associated with female genital organs and menstrual cycle,Other specified conditions associated with female genital organs and menstrual cycle is a medical condition that requires attention. Symptoms may vary.
Other acute reaction to foreign substance accidentally left during a procedure,Other acute reaction to foreign substance accidentally left during a procedure is a medical condition that requires attention. Symptoms may vary.
Pedestrian on other pedestrian conveyance colliding with stationary object,Pedestrian on other pedestrian conveyance colliding with stationary object is a medical condition that requires attention. Symptoms may vary.
Situational type phobia,Situational type phobia is a medical condition that requires attention. Symptoms may vary.
"Injury of other nerves at hip and thigh level, left leg","Injury of other nerves at hip and thigh level, left leg is a medical condition that requires attention. Symptoms may vary."
"Unspecified injury of other muscles, fascia and tendons at forearm level, right arm","Unspecified injury of other muscles, fascia and tendons at forearm level, right arm is a medical condition that requires attention. Symptoms may vary."
Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality,Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality is a medical condition that requires attention. Symptoms may vary.
Jumping or diving into natural body of water striking water surface causing drowning and submersion,Jumping or diving into natural body of water striking water surface causing drowning and submersion is a medical condition that requires attention. Symptoms may vary.
"Congenital malformations of gallbladder, bile ducts and liver","Congenital malformations of gallbladder, bile ducts and liver is a medical condition that requires attention. Symptoms may vary."
Carcinoma in situ of esophagus,Carcinoma in situ of esophagus is a medical condition that requires attention. Symptoms may vary.
"Dislocation of metacarpal (bone), proximal end of left hand","Dislocation of metacarpal (bone), proximal end of left hand is a medical condition that requires attention. Symptoms may vary."
Nondisplaced fracture of lateral condyle of right humerus,Nondisplaced fracture of lateral condyle of right humerus is a medical condition that requires attention. Symptoms may vary.
Genital varices in pregnancy,Genital varices in pregnancy is a medical condition that requires attention. Symptoms may vary.
"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident","Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident is a medical condition that requires attention. Symptoms may vary."
Abnormal findings on diagnostic imaging of central nervous system,Abnormal findings on diagnostic imaging of central nervous system is a medical condition that requires attention. Symptoms may vary.
